Method,Accuracy,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
AFINN,0.67,0.7142857142857143,0.47619047619047616,0.5714285714285714,21.0,0.04,0.5,0.07407407407407407,2.0,0.9180327868852459,0.7272727272727273,0.8115942028985508,77.0,0.5574395003903201,0.5678210678210678,0.48569894946706543,0.8576852459016393,0.67,0.7464090177133655
SentiWordNet,0.61,0.3684210526315789,0.3333333333333333,0.35,21.0,0.0,0.0,0.0,2.0,0.8571428571428571,0.7012987012987013,0.7714285714285715,77.0,0.40852130325814534,0.34487734487734484,0.3738095238095238,0.7373684210526315,0.61,0.6675
SenticNet,0.65,0.3125,0.23809523809523808,0.2702702702702703,21.0,0.06666666666666667,0.5,0.11764705882352941,2.0,0.855072463768116,0.7662337662337663,0.8082191780821918,77.0,0.41141304347826085,0.5014430014430015,0.39871216905866386,0.7253641304347827,0.65,0.681438465056515
TextBlob,0.68,0.6666666666666666,0.2857142857142857,0.4,21.0,0.041666666666666664,0.5,0.07692307692307693,2.0,0.9104477611940298,0.7922077922077922,0.8472222222222222,77.0,0.5395936981757877,0.5259740259740259,0.44138176638176646,0.8418781094527362,0.68,0.7378995726495728
ML - Logistic Regression,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
ML - MLP Neural Network,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
ML - Naive Bayes (Multinomial),0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
ML - Logistic Regression,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
ML - MLP Neural Network,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
ML - Naive Bayes (Multinomial),0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.75,1.0,0.8571428571428571,15.0,0.25,0.3333333333333333,0.2857142857142857,0.5625,0.75,0.6428571428571428
